"filename", "language", "JSON", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\package.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer-stock\queries\getClosingStocks.ts", "TypeScript", 0, 0, 16, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer-stock\queries\getInStocks.ts", "TypeScript", 0, 0, 26, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer-stock\queries\getOutStocks.ts", "TypeScript", 0, 0, 26, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customerTransfer\mutations\transferCustomer.ts", "TypeScript", 0, 0, 17, 0, 3, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customerTransfer\queries\getTransfersByDate.ts", "TypeScript", 0, 0, 23, 0, 6, 29
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\expense\mutations\addExpense.ts", "TypeScript", 0, 0, 16, 0, 3, 19
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\expense\mutations\updateExpense.ts", "TypeScript", 0, 0, 18, 0, 3, 21
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\expense\queries\getExpensesByDate.ts", "TypeScript", 0, 0, 16, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\instance.ts", "TypeScript", 0, 0, 3, 0, 0, 3
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\mutations\updateInvoice.ts", "TypeScript", 0, 0, 9, 0, 3, 12
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\queries\getCreditInvoiceByDate.ts", "TypeScript", 0, 0, 35, 0, 8, 43
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\queries\getInvoiceById.ts", "TypeScript", 0, 0, 29, 0, 5, 34
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\queries\getInvoicesByDate.ts", "TypeScript", 0, 0, -3, 0, 0, -3
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\salesman-stock\queries\getClosingStocks.ts", "TypeScript", 0, 0, 16, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\salesman-stock\queries\getInStocks.ts", "TypeScript", 0, 0, 25, 0, 5, 30
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\salesman-stock\queries\getOutStocks.ts", "TypeScript", 0, 0, 26, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\summary\queries\getSummary.ts", "TypeScript", 0, 0, 22, 0, 4, 26
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\mutations\addSupplier.ts", "TypeScript", 0, 0, 20, 0, 3, 23
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\mutations\updateSupplier.ts", "TypeScript", 0, 0, 20, 0, 3, 23
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\queries\getAllSuppliers.ts", "TypeScript", 0, 0, 16, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\mutations\provideSupply.ts", "TypeScript", 0, 0, 17, 0, 3, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\mutations\updateSupply.ts", "TypeScript", 0, 0, 9, 0, 3, 12
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getCreditSupplyByDate.ts", "TypeScript", 0, 0, 24, 0, 6, 30
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getSupplyByDate.ts", "TypeScript", 0, 0, 28, 0, 7, 35
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getSupplyById.ts", "TypeScript", 0, 0, 26, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\transfer\mutations\transferSalesman.ts", "TypeScript", 0, 0, 17, 0, 3, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\transfer\queries\getTransfersByDate.ts", "TypeScript", 0, 0, 34, 0, 8, 42
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\createUser.ts", "TypeScript", 0, 0, 23, 0, 4, 27
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\updateUser.ts", "TypeScript", 0, 0, 16, 0, 3, 19
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\updateUserPassword.ts", "TypeScript", 0, 0, 14, 0, 3, 17
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\queries\getAllUsers.ts", "TypeScript", 0, 0, 20, 0, 4, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\queries\getAllVansales.ts", "TypeScript", 0, 0, 20, 0, 4, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getClosingStock.ts", "TypeScript", 0, 0, 16, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getInStocks.ts", "TypeScript", 0, 0, 26, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getInvoiceRecords.ts", "TypeScript", 0, 0, 26, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getOutStocks.ts", "TypeScript", 0, 0, 26, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\nav-links.ts", "TypeScript", 0, 0, 108, 0, 7, 115
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-body\index.tsx", "TypeScript JSX", 0, 18, 0, 0, 3, 21
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-container\styles.ts", "TypeScript", 0, 0, 1, 0, 0, 1
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-footer\styles.ts", "TypeScript", 0, 0, 3, 0, 1, 4
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar\index.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, -1
